3,6400,w_virt,where,Virtual Location,"Virtual location in a game, or fantsy world",
4,6410,w_virt_alrona,w_virt,Alrona,Alrona (world in Sanct Game),
4,6420,w_virt_mearth,w_virt,Middle Earth,Middle Earth (world in Tolkiens Lord of the Rings),
5,6421,w_virt_mearth_shire,w_virt_mearth,The Shire,The Shire in Middle Earth,Top left of Middle Earth - nice to visit
5,6422,w_virt_mearth_mordor,w_virt_mearth,Mordor,Mordor in Middle Earth,Bottom right of Middle Earth - not very pleasant
4,6430,w_virt_azeroth,w_virt,Azeroth,Azeroth (location in World of Warcraft game),
3,6500,w_earth,where,Earth,World (all of Earth),
4,6502,w_earth_country,w_earth,Country Locations,Datase of Country GPS Coords,todo - download GPS coords
4,6503,w_earth_address,w_earth,Address,An Address,Street - Suburb - Postcode - Country
2,7000,link,root,Link,"(glue) A Link or relationship between any ontology item (uses, updates, related)",
3,7100,l_soft_job,link,Link Software apps to Running Tasks,A Link of software programs and links to the running tasks they process,"eg MySQL Workbench > load_raw.csv, Blender > Export FBX to Uasset"
